,source,target,weight
492,P1114,P1267,0.752420909090909
493,P1124,P1267,0.766954285714286
494,P1129,P1267,0.743465909090909
495,P1164,P1267,0.747421136363636
496,P1182,P1267,0.744445833333333
497,P1192,P1267,0.750982978723405
498,P1198,P1267,0.746691785714286
499,P1200,P1267,0.79119
500,P1203,P1267,0.76949625
501,P1210,P1267,0.769518
502,P1218,P1267,0.766857647058824
503,P1240,P1267,0.746816315789474
504,P1253,P1267,0.86649875
505,P1257,P1267,0.766368181818182
506,P1261,P1267,0.76072
507,P1025,P1270,0.748815185185185
508,P1088,P1270,0.786291818181818
509,P1108,P1270,0.757329069767442
510,P1123,P1270,0.750678684210526
511,P1191,P1270,0.743649375
512,P1193,P1270,0.806421935483871
513,P1203,P1270,0.766286
514,P1218,P1270,0.752845294117647
515,P1261,P1270,0.7729156
516,P1067,P1271,0.7481275
517,P1076,P1271,0.749007777777778
518,P1115,P1271,0.746213125
519,P1123,P1271,0.744084705882353
520,P1155,P1271,0.749218157894737
521,P1198,P1271,0.757793235294117
522,P1214,P1271,0.7664025
523,P1264,P1271,0.752744166666667
524,P1056,P1278,0.906107142857143
525,P1067,P1278,0.764435
526,P1088,P1278,0.752089743589744
527,P1106,P1278,0.806512222222222
528,P1124,P1278,0.750523541666667
529,P1135,P1278,0.777817777777778
530,P1149,P1278,0.75160875
531,P1155,P1278,0.799072
532,P1165,P1278,0.7608975
533,P1192,P1278,0.752329
534,P1193,P1278,0.802172857142857
535,P1196,P1278,0.743316666666667
536,P1198,P1278,0.74369
537,P1220,P1278,0.847491666666667
538,P1240,P1278,0.745875
539,P1253,P1278,0.74742
540,P1261,P1278,0.749523142857143
541,P1264,P1278,0.762662142857143
542,P1267,P1278,0.8866375
543,P1056,P1281,0.873434285714286
544,P1067,P1281,0.77157875
545,P1124,P1281,0.770648235294118
546,P1133,P1281,0.79258568627451
547,P1135,P1281,0.756622666666667
548,P1155,P1281,0.79155
549,P1164,P1281,0.804241111111111
550,P1165,P1281,0.874491428571429
551,P1185,P1281,0.8050836
552,P1192,P1281,0.788667777777778
553,P1193,P1281,0.822721428571429
554,P1200,P1281,0.8076506
555,P1203,P1281,0.8133092
556,P1207,P1281,0.776925
557,P1240,P1281,0.766222666666667
558,P1264,P1281,0.798628571428571
559,P1267,P1281,0.843322222222222
560,P1278,P1281,0.778638823529412
561,P1029,P1284,0.748696571428571
562,P1056,P1284,0.827825
563,P1067,P1284,0.75159375
564,P1076,P1284,0.826731111111111
565,P1088,P1284,0.752646279069767
566,P1115,P1284,0.751284146341463
567,P1124,P1284,0.788924074074074
568,P1129,P1284,0.771367234042553
569,P1133,P1284,0.770891730769231
570,P1149,P1284,0.802715454545455
571,P1155,P1284,0.828203
572,P1185,P1284,0.7881675
573,P1192,P1284,0.747978333333333
574,P1193,P1284,0.771430833333333
575,P1196,P1284,0.767581818181818
576,P1198,P1284,0.806264545454545
577,P1207,P1284,0.76181125
578,P1214,P1284,0.750622380952381
579,P1220,P1284,0.805286666666667
580,P1253,P1284,0.772982962962963
581,P1257,P1284,0.767063829787234
582,P1261,P1284,0.762939736842105
583,P1267,P1284,0.810173636363636
584,P1281,P1284,0.82403431372549
585,P1029,P1299,0.761975185185185
586,P1056,P1299,0.768190769230769
587,P1088,P1299,0.761954333333333
588,P1094,P1299,0.768528181818182
589,P1111,P1299,0.82666
590,P1124,P1299,0.763713684210526
591,P1129,P1299,0.772030980392157
592,P1155,P1299,0.792702307692308
593,P1164,P1299,0.783061
594,P1198,P1299,0.766436666666667
595,P1257,P1299,0.755776
596,P1261,P1299,0.756244705882353
597,P1270,P1299,0.78722
